country_iso3,colonizer
AFG,USA
DZA,FRA
AGO,PRT
BHR,GBR
BGD,GBR
BEN,FRA
BTN,GBR
BWA,GBR
BFA,FRA
BDI,DEU
CMR,DEU
CAF,FRA
TCD,FRA
COG,FRA
DJI,FRA
EGY,GBR
GNQ,ESP
ETH,ITA
FJI,GBR
GAB,FRA
GMB,GBR
GHA,GBR
GIN,FRA
GNB,PRT
IND,GBR
IDN,NLD
IRQ,GBR
CIV,FRA
JOR,GBR
KHM,FRA
KEN,GBR
PRK,JPN
KOR,JPN
KWT,GBR
LAO,FRA
LBN,FRA
LSO,GBR
LBR,USA
LBY,ITA
MDG,FRA
MWI,GBR
MYS,GBR
MLI,FRA
MRT,FRA
MAR,FRA
MOZ,PRT
MMR,GBR
NPL,GBR
NER,FRA
NGA,GBR
OMN,GBR
PAK,GBR
PNG,DEU
PHL,ESP
QAT,GBR
RWA,DEU
SAU,GBR
SEN,FRA
SLE,GBR
SLB,GBR
ZAF,GBR
LKA,GBR
SDN,GBR
SWZ,GBR
SYR,FRA
TZA,DEU
TGO,DEU
TUN,FRA
UGA,GBR
ARE,GBR
VUT,FRA
VNM,FRA
ZMB,GBR
ZWE,GBR
FRA,FRA
ESP,ESP
PRT,PRT
ITA,ITA
USA,USA
NLD,NLD
GBR,GBR
JPN,JPN
DEU,DEU
COL,NONE
DOM,NONE
PSE,NONE
ISR,NONE
MKD,NONE
BLR,NONE
AUT,NONE
PLW,NONE
VGB,NONE
BRN,NONE
CUB,NONE
EST,NONE
CHL,NONE
CHN,NONE
TCA,NONE
CYP,NONE
SXM,NONE
MUS,NONE
DNK,NONE
BLZ,NONE
MNP,NONE
TUR,NONE
GUM,NONE
PER,NONE
SLV,NONE
YEM,NONE
SUR,NONE
SVN,NONE
UKR,NONE
BIH,NONE
MNG,NONE
BRA,NONE
LUX,NONE
LVA,NONE
ISL,NONE
GRL,NONE
PAN,NONE
IRL,NONE
AND,NONE
CZE,NONE
SVK,NONE
AZE,NONE
CUW,NONE
ARM,NONE
KNA,NONE
STP,NONE
FSM,NONE
CRI,NONE
TJK,NONE
TON,NONE
TTO,NONE
PRY,NONE
PYF,NONE
IRN,NONE
KIR,NONE
GTM,NONE
ERI,NONE
COM,NONE
ABW,NONE
TUV,NONE
MLT,NONE
KAZ,NONE
GRC,NONE
WSM,NONE
CYM,NONE
GRD,NONE
BOL,NONE
ALB,NONE
LCA,NONE
BRB,NONE
FIN,NONE
ARG,NONE
NRU,NONE
HTI,NONE
ECU,NONE
HND,NONE
RUS,NONE
VEN,NONE
TKM,NONE
JAM,NONE
NCL,NONE
CPV,NONE
SMR,NONE
HRV,NONE
SYC,NONE
CAN,NONE
HKG,NONE
NAM,NONE
NOR,NONE
MDV,NONE
SWE,NONE
HUN,NONE
NZL,NONE
DMA,NONE
KGZ,NONE
ATG,NONE
VCT,NONE
LTU,NONE
GUY,NONE
BMU,NONE
THA,NONE
BHS,NONE
UZB,NONE
MHL,NONE
BGR,NONE
GEO,NONE
URY,NONE
AUS,NONE
POL,NONE
NIC,NONE
ASM,NONE
MDA,NONE
MEX,NONE
BEL,NONE
CHE,NONE
SGP,NONE
MAC,NONE
