country_iso3,life_expectancy
AFG,61.553
ALB,76.914
DZA,75.199
AND,82.43
AGO,56.33
ATG,75.956
ARG,75.439
ARM,73.572
ABW,75.158
AUS,81.8951219512195
AUT,80.9829268292683
AZE,71.234
BHS,72.263
BHR,76.2
BGD,70.256
BRB,78.456
BLR,70.5536585365854
BEL,80.5853658536585
BLZ,72.57
BEN,59.59
BMU,81.1526829268293
BTN,68.84
BOL,68.521
BIH,76.219
BWA,61.91
BRA,73.921
BRN,74.852
BGR,74.1634146341463
BFA,57.761
BDI,57.925
CPV,71.243
KHM,67.043
CMR,55.581
CAN,81.4487804878049
CAF,47.95
TCD,51.424
CHI,81.688
CHL,78.986
CHN,74.708
COL,75.655
COM,62.24
COD,57.427
COG,60.785
CRI,78.919
CIV,53.62
HRV,76.7756097560976
CUB,78.4
CUW,77.4731707317073
CYP,79.621
CZE,77.8731707317073
DNK,79.8
DJI,60.667
DMA,72.28
DOM,72.284
ECU,75.289
EGY,70.543
SLV,71.449
GNQ,55.945
ERI,62.732
EST,76.2292682926829
ETH,62.505
FRO,80.8878048780488
FJI,66.759
FIN,80.4707317073171
FRA,82.1146341463415
PYF,75.844
GAB,62.168
GMB,59.917
GEO,71.773
DEU,80.4365853658537
GHA,61.381
GRC,80.7317073170732
GRL,71.0624390243902
GRD,72.768
GUM,78.173
GTM,71.861
GIN,57.387
GNB,55.144
GUY,68.321
HTI,60.879
HND,73.569
HKG,83.4219512195122
HUN,74.8585365853659
ISL,82.3585365853659
IND,67.13
IDN,69.542
IRN,74.352
IRQ,68.848
IRL,80.7463414634146
ISR,81.6560975609756
ITA,82.1878048780488
JAM,74.012
JPN,82.5912195121951
JOR,73.581
KAZ,68.69
KEN,61.851
KIR,66.072
PRK,70.012
KOR,80.5682926829269
XKX,70.4439024390244
KWT,74.55
KGZ,69.6024390243903
LAO,64.797
LVA,73.5756097560976
LBN,78.507
LSO,46.207
LBR,60.146
LBY,71.956
LIE,81.7926829268293
LTU,73.5634146341464
LUX,80.9878048780488
MAC,82.938
MKD,74.846
MDG,63.836
MWI,57.161
MYS,74.683
MDV,76.293
MLI,55.701
MLT,80.7463414634146
MHL,70
MRT,62.799
MUS,73.2668292682927
MEX,75.011
FSM,66.646
MDA,70.119
MNG,67.818
MNE,75.505
MAR,74.696
MOZ,53.043
MMR,63.983
NAM,58.085
NRU,59.7
NPL,68.028
NLD,81.2048780487805
NCL,76.6317073170732
NZL,80.9048780487805
NIC,72.692
NER,58.081
NGA,51.346
NOR,81.2951219512195
OMN,75.916
PAK,65.562
PLW,70
PAN,76.989
PNG,62.316
PRY,72.86
PER,74.697
PHL,69.984
POL,76.6951219512195
PRT,80.4707317073171
PRI,78.6406585365854
QAT,79.26
ROU,74.409756097561
RUS,69.6839024390244
RWA,64.523
WSM,71.906
SMR,83.32
STP,67.885
SAU,74.089
SEN,64.898
SRB,74.5365853658537
SYC,72.7243902439024
SLE,50.234
SGP,81.7439024390244
SVK,75.9585365853659
SVN,79.9707317073171
SLB,70.985
SOM,54.342
ZAF,58.895
SSD,55.325
ESP,82.4756097560976
LKA,75.614
KNA,73
LCA,74.993
MAF,78.7219512195122
VCT,71.827
SDN,63.171
SUR,70.676
SWZ,48.141
SWE,81.8024390243903
CHE,82.6951219512195
SYR,71.27
TJK,69.055
TZA,59.525
THA,74.593
TLS,67.477
TGO,58.092
TON,70.148
TTO,72.17
TUN,75.206
TUR,74.944
TKM,66.928
TUV,67.2
UGA,58.087
UKR,70.8092682926829
ARE,76.521
GBR,80.9512195121951
USA,78.6414634146341
URY,76.882
UZB,69.91
VUT,69.272
VEN,73.11
VNM,74.904
VIR,78.3170731707317
PSE,72.915
YEM,65.768
ZMB,57.126
ZWE,52.896
