country_iso3,gdp_growth
ABW,4.198232323
AFG,5.600744661
AGO,4.954544646
ALB,1.00198715
AND,-3.547596515
ARB,3.287271169
ARE,5.053345825
ARG,2.405323781
ARM,3.3
ASM,-2.756508423
ATG,-0.6008763967
AUS,2.584897702
AUT,0.0255047122
AZE,5.843415762
BDI,4.924195261
BEL,0.4592421929
BEN,7.191433721
BFA,5.792584845
BGD,6.013605658
BGR,0.3257694362
BHR,5.41683981
BHS,-2.678979525
BIH,2.349856663
BLR,1.003470841
BLZ,1.30212494
BMU,-0.2797085454
BOL,6.796011241
BRA,3.004846305
BRB,-1.406563965
BRN,-2.126028517
BTN,2.119972633
BWA,11.34339697
CAF,-36.3919771
CAN,2.329122506
CEB,1.245979387
CHE,1.852039816
CHL,4.045004298
CHN,7.766150098
CIV,8.889421302
CMR,5.40426571
COD,8.481956636
COG,-0.7124344519
COL,5.13399352
COM,4.499874215
CPV,0.8027976006
CRI,2.2690274
CSS,0.8002098476
CUB,2.747602563
CUW,-0.7941067691
CYM,1.279330593
CYP,-6.553078255
CZE,-0.04590367355
DEU,0.4375913031
DMA,-0.9999406312
DNK,0.9333409724
DOM,4.875205089
DZA,2.8
EAP,7.199972907
EAR,4.298161181
EAS,4.769058205
ECA,4.046612951
ECS,0.9033225858
ECU,4.946511267
EGY,2.185466055
EMU,-0.2495257045
ESP,-1.435394259
EST,1.346184732
ETH,10.58227005
EUU,-0.05531339265
FCS,3.897205316
FIN,-0.9016963162
FJI,4.73421949
FRA,0.5763266748
FSM,-3.679767791
GAB,5.638699003
GBR,2.139485718
GEO,3.621305352
GHA,7.312525007
GIN,3.934784025
GMB,2.87276879
GNB,3.255904265
GNQ,-4.133198501
GRC,-3.241424731
GRD,2.351418773
GRL,-1.298280693
GTM,3.6975861
GUM,1.825110309
GUY,3.653407571
HIC,1.463297035
HKG,3.10155447
HND,2.791559757
HPC,5.554114609
HRV,-0.447092177
HTI,3.085008621
HUN,1.860751624
IBD,4.970914922
IBT,5.028933749
IDA,5.873559854
IDB,5.727201829
IDN,5.557263689
IDX,6.020621971
IMN,4.141718551
IND,6.386106401
IRL,1.351633847
IRN,-0.194073471
IRQ,7.6
ISL,4.13385115
ISR,4.148054503
ITA,-1.841065451
JAM,0.5015605832
JOR,2.609947414
JPN,2.000267841
KAZ,5.999999999
KEN,5.878680567
KGZ,10.91546948
KHM,7.356665149
KIR,4.214773912
KNA,5.383690734
KOR,3.164708636
KWT,1.149300437
LAC,2.762519413
LAO,8.026300226
LBN,3.811023284
LBR,8.704028066
LBY,-13.59999997
LCA,-3.174377604
LCN,2.783791193
LDC,5.797093835
LIC,5.641123877
LKA,3.39573265
LMC,5.52517046
LMY,5.14461767
LSO,4.186912501
LTE,5.217630264
LTU,3.550072843
LUX,3.654371342
LVA,2.310176076
MAC,11.20009044
MAR,4.5354242
MCO,9.599998464
MDA,9.043865482
MDG,2.300386934
MDV,7.281073979
MEA,2.792682168
MEX,1.354091962
MHL,3.717627874
MIC,5.137435198
MKD,2.925257665
MLI,2.29506829
MLT,5.473355914
MMR,8.426001025
MNA,1.718870795
MNE,3.548980552
MNG,11.64891619
MNP,2.406417112
MOZ,6.963607135
MRT,4.150813186
MUS,3.360406103
MWI,5.199999998
MYS,4.693722526
NAC,1.889108452
NAM,5.614719652
NER,5.315130636
NGA,6.671335393
NIC,4.926115047
NLD,-0.1301752884
NOR,1.034072914
NPL,4.128877676
NRU,30.6122449
NZL,2.628800543
OED,1.510685262
OMN,5.104799427
OSS,3.599249187
PAK,4.396456633
PAN,6.903272566
PER,5.852518211
PHL,6.750531301
PLW,-3.387316396
PNG,3.824946266
POL,1.125767836
PRE,5.94381157
PRI,-0.3068266571
PRT,-0.9226446745
PRY,8.417495285
PSE,4.698569866
PSS,3.353527848
PST,1.350807222
QAT,5.556040641
ROU,3.770962304
RUS,1.755422149
RWA,4.719854196
SAS,6.087552641
SAU,2.699254721
SDN,4.394695833
SEN,2.82210565
SGP,4.837298646
SLB,5.331050228
SLE,20.71576829
SLV,2.235729888
SMR,-0.7839721254
SRB,2.892636734
SSA,4.967567397
SSD,13.12973114
SSF,4.956723739
SST,3.165979424
STP,4.814794386
SUR,2.93344123
SVK,0.6665350418
SVN,-1.029282772
SWE,1.187775716
SWZ,3.862271882
SXM,1.306727883
SYC,6.018076825
TCA,1.070880496
TCD,5.700001363
TEA,7.20048873
TEC,3.596679234
TGO,6.112343078
THA,2.687495563
TJK,7.400081256
TKM,10.2000001
TLA,2.858383635
TLS,2.119224319
TMN,1.693774077
TON,0.3123079093
TSA,6.087552641
TSS,4.956723739
TTO,2.229074805
TUN,2.875523842
TUR,8.485817002
TUV,4.576823704
TZA,6.781585601
UGA,3.586905826
UKR,-0.02669789007
UMC,5.044909297
URY,4.63753863
USA,1.84208107
UZB,7.584537849
VCT,1.832976653
VEN,1.343094036
VIR,-5.83081571
VNM,5.421882991
VUT,1.96914608
WLD,2.665978932
WSM,-0.4188443993
XKX,3.439550634
YEM,4.823414981
ZAF,2.4852005
ZMB,5.05723174
ZWE,1.989492762
