country_iso3,gdp_per_capita
AFG,591.162798293135
ALB,4437.14288515077
DZA,5455.67902952706
ASM,10223.2983588916
AND,43334.8114127088
AGO,4615.46821863819
ATG,12746.6334682021
ARG,12848.8641969705
ARM,3525.80719813557
ABW,24985.0139185797
AUS,62517.8337471503
AUT,51374.9584066934
AZE,7189.69122920765
BHS,28005.9124040903
BHR,22514.202716483
BGD,861.762162181077
BRB,16458.3532105715
BLR,6519.23019498892
BEL,47348.5250202016
BLZ,4423.4968423614
BEN,1130.27318959427
BMU,97774.1620717428
BTN,2563.261223801
BOL,2346.3378439235
BIH,5092.55472521264
BWA,7617.31004132551
BRA,13245.6120301146
VGB,34573
BRN,47055.960643203
BGR,7809.42506245471
BFA,751.172770411005
BDI,249.577972769836
CPV,3740.37410269948
KHM,882.275613986936
CMR,1405.0941234837
CAN,52223.696112356
CYM,72329.6613326945
CAF,551.749691833885
TCD,984.736130484829
CHL,14637.2334407887
CHN,5618.13226711491
COL,7335.16693447605
COM,1447.9452695898
COD,387.082476958569
COG,3557.5561698838
CRI,9229.83451670274
CIV,1208.58319891729
HRV,14609.5243524166
CUB,6139.71878325885
CUW,20146.3864122001
CYP,32396.3857437121
CZE,21871.2660754128
DNK,61753.647131977
DJI,1451.54808090617
DMA,7065.46037237599
DOM,5913.42664885493
ECU,5200.55510783504
EGY,2791.81076592794
SLV,3266.01258790059
GNQ,21641.6938980227
ERI,642.508258796603
EST,17624.0445588254
ETH,354.4795719088
FRO,52092.6033791385
FJI,4371.44738457557
FIN,51081.9976703127
FRA,43790.7260166781
GAB,10809.6849503904
GMB,762.763117720034
GEO,4021.74330617286
DEU,46644.776027968
GHA,1549.46271883345
GRC,25450.5341194438
GRL,47186.9814680048
GRD,7291.74166956273
GUM,31210.4702861795
GTM,3228.0457411296
GIN,651.136113367479
GNB,703.66056725746
GUY,4908.56701446734
HTI,1287.95405805707
HND,2088.3155465311
HKG,35142.4879344543
HUN,14216.1656114334
ISL,47714.5922308485
IND,1458.10406619626
IDN,3643.04717619274
IRN,7781.40580096573
IRQ,6045.4945669195
IRL,51886.5084852792
IMN,77349.2252431953
ISR,33610.6940289761
ITA,38599.0622070322
JAM,5111.46598710697
JPN,48167.9972684965
JOR,3852.89002548782
KAZ,11634.0012021103
KEN,971.633036511422
KIR,1734.90239727549
PRK,639
KOR,25096.2638838239
XKX,3741.87505207304
KWT,48631.7834045849
KGZ,1123.8831680627
LAO,1378.36201638757
LVA,13776.0887766199
LBN,7675.30893971499
LSO,1287.26953644869
LBR,596.89663532503
LBY,5554.18005326459
LIE,158130.45751887
LTU,14376.9478643932
LUX,115761.507705096
MAC,66891.2819664822
MKD,5063.88590630977
MDG,531.265498542052
MWI,534.951050199388
MYS,10399.3702125714
MDV,7291.46596660877
MLI,837.605820999201
MLT,23155.5547893882
MHL,3046.29007147406
MRT,1879.77247186677
MUS,9197.04299089459
MEX,10203.4212952716
FSM,3009.25682468487
MDA,2942.25594861529
MCO,169016.196065279
MNG,3757.56541460408
MNE,7328.93225247529
MAR,3046.94785427611
MOZ,594.586147098683
MMR,1061.92341090353
NAM,5806.74824519587
NRU,6560.27487042551
NPL,799.583376878379
NLD,54159.3466126142
NZL,38387.6270784076
NIC,1655.81805473253
NER,512.595335012861
NGA,2487.59801680379
MNP,13496.7507822191
NOR,100600.562407589
OMN,20876.5850396107
PAK,1164.97882332035
PLW,11094.8332206446
PAN,9358.26157385486
PNG,2406.91096725754
PRY,5329.38743682686
PER,5869.32388186462
PHL,2450.73569408545
POL,13879.5609852546
PRT,23186.9131283278
PRI,27278.8830499205
QAT,82409.9416434106
ROU,9099.2175388969
RUS,14311.0843159612
RWA,668.494672193863
WSM,3933.45935710691
SMR,57297.5133143063
STP,1254.54159767468
SAU,23745.8805777495
SEN,1366.77450070807
SRB,6809.15980400146
SYC,12189.0951601357
SLE,448.337662148696
SGP,53890.4287270504
SXM,27997.2898302635
SVK,18361.5694760083
SVN,25095.1322896197
SLB,1938.89118680079
ZAF,8007.47643908404
SSD,1516.40437759013
ESP,31636.4463142558
LKA,3200.86113238282
KNA,16539.7690073067
LCA,8983.74373302309
VCT,6242.25296246715
SDN,1437.77983086377
SUR,8263.20380320348
SWZ,4496.61296226253
SWE,60755.7595508465
CHE,91254.0347609687
SYR,3192
TJK,847.382432066315
TZA,781.433895673281
THA,5492.12149993341
TLS,947.510766704337
TGO,587.097492827983
TON,4002.81377065344
TTO,19034.1207062684
TUN,4264.6781221604
TUR,11420.5554558378
TKM,5649.96210595541
TCA,21839.0099187918
TUV,3643.1216084556
UGA,828.994112767086
UKR,3569.75812083898
ARE,39194.672239975
GBR,42047.6142522206
USA,49882.5581321495
URY,14236.7149957359
UZB,1926.29299673401
VUT,3173.82202175008
VEN,10955.5380141821
VNM,1525.11902548642
VIR,39144.8887247207
PSE,2880.79843707909
YEM,1374.62140060517
ZMB,1672.90753526193
ZWE,1093.65340855817
