country_iso3,gni_atlas
AFG,16077121255.9847
ALB,12803715190.2171
DZA,168503780186.533
AND,3624386229
AGO,82606027251.3298
ATG,1103969196.12055
ARG,442106779404.792
ARM,10160338267.6272
ABW,2290680023.36754
AUS,1124159547094.07
AUT,424545777489.332
AZE,50106859850.0597
BHS,10080299475.654
BHR,23212673261.2075
BGD,133342217808.458
BRB,4259028856.95471
BLR,59335003902.1047
BEL,512154309724.699
BLZ,1338236638.613
BEN,10357314404.0903
BMU,6560076917.15152
BTN,1553945281.59564
BOL,20429831915.6059
BIH,18340665911.0296
BWA,13312727615.7648
BRA,2188989722562.72
BRN,13983786699.8792
BGR,53055186216.2556
BFA,10923947196.1676
BDI,2104253277.07175
CPV,1751142147.04013
KHM,11790473010.7872
CMR,28301211348.4838
CAN,1620451332415.4
CYM,4111945708.38157
CAF,2341223148.37222
TCD,10947483947.616
CHL,212599041048.838
CHN,6783868514298.71
COL,288298910920.525
COM,993296175.694369
COD,22402540262.9161
COG,11888355208.9593
CRI,37492156415.4824
CIV,23674117160.1155
HRV,60080283859.0919
CUB,66619952970.334
CYP,27699896670.6139
CZE,204241686348.433
DNK,345316374125.449
DJI,1587020469
DMA,490846908.946619
DOM,54323476321.159
ECU,74306191580.7519
EGY,216784268952.982
SLV,18999936960.8967
GNQ,11384729766.0257
ERI,1940938992.48915
EST,21228875686.6824
ETH,35237153539.824
FJI,3259485006.93931
FIN,270247052544.513
FRA,2898076657272.04
GAB,13678642470.7344
GMB,1398702610.22048
GEO,13215697560.6618
DEU,3790949464137.69
GHA,35138937517.1185
GRC,272186673087.837
GRD,754214687.481519
GTM,42189530753.3286
GIN,7089756956.68709
GNB,998493461.788537
GUY,3624838205.56344
HTI,12467813133.3394
HND,15911357155.6639
HKG,252373359584.639
HUN,132081576026.664
ISL,11996825193.6397
IND,1704431329269.92
IDN,737717018641.036
IRN,512572512670.496
IRQ,152546531890.741
IRL,192137469166.104
IMN,6314863612.74412
ISR,244264259255.945
ITA,2250324124279.08
JAM,12978090979.6079
JPN,5992371028551.48
JOR,27766547042.4819
KAZ,137043512953.322
KEN,42878433152.7165
KIR,219228891.668129
PRK,15719337792
KOR,1177848647578.97
XKX,6514722887.17738
KWT,138718795423.659
KGZ,4850547002.70823
LAO,7263600389.40533
LVA,27129835572.4081
LBN,39350341123.556
LSO,2724709458.51853
LBR,2100467508.25232
LBY,29324434748.1896
LTU,40322490383.0204
LUX,39529908915.6949
MAC,30016073022.6642
MKD,9964101945.17915
MDG,10455694661.5275
MWI,7378702705.272
MYS,259323021077.674
MDV,2509498806.4428
MLI,11388476033.1155
MLT,9208106312.81586
MHL,201516535.965018
MRT,5751463903.04753
MUS,10513944316.5011
MEX,1076966686703.36
FSM,317802578.026133
MDA,7804603746.59099
MNG,7173895893.6219
MNE,4501665688.39857
MAR,99886556938.8133
MOZ,13169392418.457
MMR,53026403361.1973
NAM,11069932792.707
NRU,89363224
NPL,17140728777.7741
NLD,909377432301.668
NZL,141300796292.842
NIC,9288049465.95668
NER,8957171125.45614
NGA,354203612186.534
NOR,447431714513.559
OMN,55317440045.35
PAK,188901063104.206
PLW,217781165.869342
PAN,31682545161.8804
PNG,13608709497.7753
PRY,28372393236.168
PER,145319767106.28
PHL,240920805259.123
POL,490459987925.055
PRT,239863725937.725
PRI,65001694660.1495
QAT,136293375595.567
ROU,174271302316.082
RUS,1581315059114
RWA,6715587196.26133
WSM,659304931.282653
SMR,1795380736
STP,218344518.060541
SAU,590301258923.33
SEN,16952273724.0501
SRB,44766678216.3242
SYC,923891643.124875
SLE,2804879453.52486
SGP,250305666349.915
SVK,94151475568.686
SVN,50448720263.6115
SLB,878210978.529831
ZAF,363409170946.957
SSD,7921679352.52903
ESP,1446763629297.07
LKA,58046838743.5935
KNA,763703314.709967
LCA,1548900779.70401
VCT,663522925.839598
SDN,54781390214.4242
SUR,4240262227.33456
SWZ,4134675879.88919
SWE,535794524390.346
CHE,651068739003.502
SYR,112571415764
TJK,7848532740.44985
TZA,33932106024.1436
THA,334256150195.235
TLS,4128967478.45135
TGO,4056487873.27388
TON,394229152.582949
TTO,20001165158.6202
TUN,42814525247.0772
TUR,830733731579.224
TKM,24454791710.4832
TUV,50229073.7191191
UGA,28599612729.0697
UKR,142158543702.416
ARE,313384146047.084
GBR,2597504876826.65
USA,15760432948941.8
URY,40636375992.9768
UZB,49139600378.1472
VUT,680344686.396401
VEN,346032458370.601
VNM,122032835939.376
PSE,11175431624.7764
YEM,25694375954.1752
ZMB,19888203808.9244
ZWE,11891878067.9707
